coin,exchange,time,close,high,low,open,volumefrom,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
CHAT,Binance,2018-02-12 05:30:00,2.926e-05,3.044e-05,2.901e-05,3.03e-05,1411359,42.0,,,,,,,-27.314685314685175
CHAT,Binance,2018-02-13 05:30:00,2.588e-05,2.968e-05,2.461e-05,2.926e-05,33643444,862.31,,,,,,,-457.6192809754348
CHAT,Binance,2018-02-14 05:30:00,2.478e-05,2.707e-05,2.241e-05,2.588e-05,27718727,691.3,,,,,,,-445.7514698166366
CHAT,Binance,2018-02-15 05:30:00,2.589e-05,3.1e-05,2.447e-05,2.478e-05,27061167,719.49,,,,,,,-852.3239200463456
CHAT,Binance,2018-02-16 05:30:00,2.51e-05,2.598e-05,2.421e-05,2.589e-05,13137813,328.74,,,,,,,-850.4666319107521
CHAT,Binance,2018-02-17 05:30:00,2.410000000000001e-05,2.524e-05,2.336e-05,2.51e-05,11310115,274.97,,,,,,,-908.970887229898
CHAT,Binance,2018-02-18 05:30:00,2.282e-05,2.428e-05,2.259e-05,2.410000000000001e-05,11230316,259.77,,,,,,,-1098.0342600109634
CHAT,Binance,2018-02-19 05:30:00,2.13e-05,2.298e-05,2.103e-05,2.282e-05,11240092,248.65,,,,,,,-1277.8273369340404
CHAT,Binance,2018-02-20 05:30:00,1.95e-05,2.134e-05,1.924e-05,2.13e-05,10640953,216.28,,,,,,,-1440.5522893149925
CHAT,Binance,2018-02-21 05:30:00,2.003e-05,2.275e-05,1.914e-05,1.95e-05,16141356,328.87,,,,,,-453.4340026089807,-1607.2647823897848
CHAT,Binance,2018-02-22 05:30:00,1.975e-05,2.042e-05,1.92e-05,2.003e-05,3409344,67.76,,,,,,-425.32503134248213,-1613.9297004225718
CHAT,Binance,2018-02-23 05:30:00,2.145e-05,2.978e-05,1.96e-05,1.975e-05,18638749,455.33,,,,,,-467.38078779198395,-1903.7664784186425
CHAT,Binance,2018-02-24 05:30:00,2.04e-05,2.389e-05,1.976e-05,2.145e-05,9485883,202.5,,,,,,-486.5588877266771,-2043.5061878617416
CHAT,Binance,2018-02-25 05:30:00,2.045e-05,2.111e-05,1.997e-05,2.04e-05,2608602,53.3,,,,,,-452.8495991027987,-2051.9219773354257
CHAT,Binance,2018-02-26 05:30:00,1.931e-05,2.055e-05,1.903e-05,2.045e-05,2787573,55.08,20.26300059772863,0.0,,,,-408.959998335838,-2086.7093457564783
CHAT,Binance,2018-02-27 05:30:00,1.918e-05,2.17e-05,1.805e-05,1.931e-05,8173877,161.44,20.09484291641968,0.0,,,,-373.38876330412836,-2148.1892361674372
CHAT,Binance,2018-02-28 05:30:00,1.853e-05,1.958e-05,1.84e-05,1.918e-05,1945043,36.82,19.23530182008642,0.0,,,,-334.0265446048029,-2176.896354811505
CHAT,Binance,2018-03-01 05:30:00,1.773e-05,1.912e-05,1.714e-05,1.853e-05,3764778,67.5,18.203270748792793,0.0,,,,-296.23545521414576,-2204.169082084232
CHAT,Binance,2018-03-02 05:30:00,1.731e-05,1.818e-05,1.712e-05,1.773e-05,1511187,26.46,17.667339705294435,0.0,,,,-259.245894414795,-2221.143421706873
CHAT,Binance,2018-03-03 05:30:00,1.589e-05,1.739e-05,1.562e-05,1.731e-05,2209616,36.02,15.956814709957328,0.0,2.1433e-05,2.1433e-05,2.1433e-05,-228.51035333205186,-2246.1742691645004
CHAT,Binance,2018-03-04 05:30:00,1.631e-05,1.7e-05,1.573e-05,1.589e-05,1514298,24.83,18.471105182351792,0.0,2.07855e-05,2.07855e-05,2.07855e-05,-195.8473457429625,-2248.32489908576
CHAT,Binance,2018-03-05 05:30:00,1.567e-05,1.989e-05,1.512e-05,1.631e-05,10900508,189.61,17.60672103050711,0.0,2.0274999999999998e-05,2.0274999999999998e-05,2.0274999999999998e-05,-211.09867322354648,-2394.2093225658436
CHAT,Binance,2018-03-06 05:30:00,1.495e-05,1.604e-05,1.47e-05,1.567e-05,2299252,35.34,16.662052148855675,0.0,1.9783499999999998e-05,1.9783499999999998e-05,1.9783499999999998e-05,-205.19588371122472,-2416.362755401665
CHAT,Binance,2018-03-07 05:30:00,1.294e-05,1.509e-05,1.249e-05,1.495e-05,4751028,64.39,14.347689827900368,0.0,1.9136e-05,1.9136e-05,1.9136e-05,-197.52275661530302,-2458.4639092478187
CHAT,Binance,2018-03-08 05:30:00,1.242e-05,1.396e-05,1.182e-05,1.294e-05,3324084,42.22,13.813141125954475,0.0,1.8502e-05,1.8502e-05,1.8502e-05,-182.32789199803574,-2477.0091428926785
CHAT,Binance,2018-03-09 05:30:00,1.209e-05,1.25e-05,1.131e-05,1.242e-05,1854142,22.05,13.470157603263292,0.0,1.79015e-05,1.79015e-05,1.79015e-05,-157.35513099703303,-2470.1532605397374
CHAT,Binance,2018-03-10 05:30:00,1.196e-05,1.4e-05,1.16e-05,1.209e-05,4608145,57.88,13.329741591453912,0.0,1.73585e-05,1.73585e-05,1.73585e-05,-145.72544413325613,-2510.6692605397375
CHAT,Binance,2018-03-11 05:30:00,1.188e-05,1.283e-05,1.16e-05,1.196e-05,2647086,31.94,13.238286675232985,0.0,1.68875e-05,1.68875e-05,1.68875e-05,-133.25587184390633,-2528.0674719218514
CHAT,Binance,2018-03-12 05:30:00,1.153e-05,1.215e-05,1.129e-05,1.188e-05,2494530,29.08,12.823749861661266,0.0,1.6489e-05,1.6489e-05,1.6489e-05,-120.12892738877463,-2540.916774247433
CHAT,Binance,2018-03-13 05:30:00,1.145e-05,1.24e-05,1.124e-05,1.153e-05,2406022,27.93,12.725661312743123,0.0,1.606e-05,1.606e-05,1.606e-05,-109.5071792832291,-2558.734188040536
CHAT,Binance,2018-03-14 05:30:00,1.147e-05,1.164e-05,1.115e-05,1.146e-05,963470,9.03,12.90501945220798,0.0,1.5646e-05,1.5646e-05,1.5646e-05,-94.32717512339423,-2555.9699023262506
